word|pinyin
小臂|xiaobi
中行|zhonghang
自主|zizhu
看用|kanyong
sh|sh
高能|gaoneng
二个月|ergeyue
扎|zha
总弄|zongnong
转过|zhuanguo
下分|xiafen
护照|huzhao
后会涨|houhuizhang
咱换|zanhuan
能消|nengxiao
ⅴ|ⅴ
资格|zige
弄用|nongyong
遇期|yuqi
事|shi
龄|ling
要邦定|yaobangding
房|fang
券|quan
疑问|yiwen
开下|kaixia
主页|zhuye
两用|liangyong
上款|shangkuan
转户|zhuanhu
一卡通|yikatong
怪不得|guaibude
没看|meikan
新换|xinhuan
无意间|wuyijian
中要|zhongyao
如可|ruke
专卖|zhuanmai
人用|renyong
起来|qilai
成负|chengfu
退致|tuizhi
银行贷款|yinhangdaikuan
转向|zhuanxiang
路径|lujing
享受|xiangshou
东方|dongfang
期有|qiyou
报告|baogao
算算|suansuan
顺延|shunyan
相差|xiangcha
杂费|zafei
能转|nengzhuan
没差|meicha
有宝|youbao
大以|dayi
安|an
退钱|tuiqian
帜|zhi
第一笔|diyibi
大小|daxiao
易购|yigou
什没|shenmei
回用|huiyong
不快|bukuai
转到子|zhuandaozi
可开|kekai
提额管|tieguan
负面|fumian
跳高|tiaogao
被拉入|beilaru
有效期限|youxiaoqixian
分辨|fenbian
開|kai
不能自己|bunengziji
转用|zhuanyong
手续|shouxu
没邦|meibang
单独|dandu
新增|xinzeng
拼多|pinduo
那点|nadian
程序|chengxu
抢到|qiangdao
ｐ|ｐ
选取|xuanqu
一两次|yiliangci
力度|lidu
行|xing
在读|zaidu
市场|shichang
请求|qingqiu
阶段|jieduan
沒扣|meikou
那一单|nayidan
冬|dong
首付|shoufu
那久|najiu
到现|daoxian
可否|kefou
租机|zuji
蝼蚁|louyi
钱付|qianfu
转哈|zhuanha
百|bai
收钱|shouqian
官|guan
三十多|sanshiduo
如才|rucai
&|&
不对劲|buduijin
手工操作|shougongcaozuo
得话|dehua
电度|diandu
怎是|zenshi
二十多|ershiduo
卡要|kayao
带|dai
按错|ancuo
款数|kuanshu
我领|woling
帮帮|bangbang
天对|tiandui
因人而异|yinreneryi
刚刚开始|ganggangkaishi
配件|peijian
华联|hualian
部分|bufen
贴纸|tiezhi
月份|yuefen
分手|fenshou
解风|jiefeng
活跃|huoyue
版|ban
个体经营|getijingying
按说|anshuo
移到|yidao
可住|kezhu
那算|nasuan
几百|jibai
活期|huoqi
任务|renwu
完够|wangou
没急时|meijishi
对象|duixiang
除夕|chuxi
负值|fuzhi
杀毒|shadu
解困|jiekun
按日|anri
不同|butong
第六天|diliutian
明|ming
千块|qiankuai
隔日|geri
货品|huopin
全号|quanhao
我往|wowang
我市|woshi
什交|shenjiao
那到|nadao
丈夫|zhangfu
当面交易|dangmianjiaoyi
营运证|yingyunzheng
街|jie
二维|erwei
极分|jifen
结算|jiesuan
还部|haibu
玏|le
书包|shubao
交年费|jiaonianfei
变高值|biangaozhi
尚未|shangwei
好几个|haojige
点刚|diangang
享有|xiangyou
处境|chujing
透资|touzi
催下|cuixia
退退|tuitui
手机号|shoujihao
多大能|duodaneng
开房|kaifang
信运度|xinyundu
同意书|tongyishu
账是|zhangshi
我用|woyong
油站|youzhan
两份|liangfen
要算|yaosuan
循化|xunhua
里购|ligou
购|gou
分日|fenri
完事|wanshi
顺利|shunli
回往|huiwang
液晶电视|yejingdianshi
还法|haifa
随便|suibian
第二个|dierge
会到|huidao
来自|laizi
存有|cunyou
日迟|richi
可怕|kepa
职能|zhineng
加入|jiaru
稳定|wending
充了|chongle
可随|kesui
卡能|kaneng
越换|yuehuan
福|fu
谓|wei
全在|quanzai
能联|nenglian
有木有|youmuyou
能作|nengzuo
注意事项|zhuyishixiang
vo|vo
说哈|shuoha
已退|yitui
大概|dagai
宽带|kuandai
怎领|zenling
会口|huikou
截|jie
问用|wenyong
永辉|yonghui
哪钱|naqian
发展|fazhan
卡换|kahuan
补充|buchong
点样|dianyang
几月份|jiyuefen
后清|houqing
条|tiao
冰室|bingshi
集盒|jihe
材料|cailiao
优选|youxuan
开不起|kaibuqi
良好|lianghao
那升|nasheng
秒|miao
过后|guohou
就关|jiuguan
反倍|fanbei
摇一摇会|yaoyiyaohui
新用|xinyong
二笔|erbi
财产险|caichanxian
最先|zuixian
借呗|jiebei
两天|liangtian
注意|zhuyi
七十多块|qishiduokuai
许可证|xukezheng
顶替|dingti
谁动|sheidong
掌上|zhangshang
囗|wei
店子|dianzi
总提|zongti
差额|chae
负时|fushi
同一天|tongyitian
开来|kailai
补全|buquan
接过|jieguo
岁|sui
非得|feidei
细则|xize
遍|bian
日用|riyong
共借|gongjie
首付款|shoufukuan
十二分|shierfen
解卡|jieka
总让|zongrang
有大|youda
本人|benren
一二点|yierdian
那付|nafu
租|zu
销了|xiaole
关不关|guanbuguan
购与|gouyu
取回|quhui
身上|shenshang
要花|yaohua
沒有減|meiyoujian
时扫|shisao
借下个|jiexiage
全不|quanbu
一点儿|yidianer
清完|qingwan
萌店|mengdian
意义|yiyi
开动|kaidong
出款|chukuan
两周|liangzhou
压力锅|yaliguo
管用|guanyong
拜托|baituo
扫错|saocuo
三四年|sansinian
负额|fue
将额|jiange
不需|buxu
电车|dianche
懂点|dongdian
恶作剧|ezuoju
能先|nengxian
开口|kaikou
出自|chuzi
期免|qimian
日时|rishi
在生活上|zaishenghuoshang
温暖|wennuan
医疗|yiliao
回长|huizhang
两遍|liangbian
用住|yongzhu
延后|yanhou
繁体|fanti
收花贝|shouhuabei
买不到|maibudao
块儿|kuaier
归还给|guihuangei
利后|lihou
话题|huati
这话|zhehua
二十多天|ershiduotian
传至|chuanzhi
这俩|zhelia
iphonex|iphonex
减退|jiantui
机票|jipiao
小吃|xiaochi
三万元|sanwanyuan
台湾|taiwan
邦定|bangding
藏宝阁|cangbaoge
唄买个|beimaige
砸|za
换过来|huanguolai
过能|guoneng
存卡能|cunkaneng
太难|tainan
冲费|chongfei
相加|xiangjia
买进|maijin
那充|nachong
非议|feiyi
分天|fentian
深情|shenqing
填完|tianwan
调成|diaocheng
运动|yundong
宗|zong
投了|toule
十块|shikuai
加大|jiada
受|shou
好几千|haojiqian
开新|kaixin
转不出|zhuanbuchu
提供|tigong
客|ke
数加|shujia
公共事业|gonggongshiye
看看|kankan
扔|reng
建议您|jianyinin
多收|duoshou
紧急|jinji
哪查|nacha
其实|qishi
178|178
加锁|jiasuo
彩票|caipiao
扣押|kouya
费费|feifei
store|store
hu|hu
降分|jiangfen
批下来|pixialai
拥挤|yongji
不低|budi
法人代表|farendaibiao
看来|kanlai
关闭|guanbi
降单|jiangdan
扛|kang
他用|tayong
卅|sa
履有|lvyou
吹款|chuikuan
还主号|haizhuhao
借得|jiede
刷卡机|shuakaji
消|xiao
备注|beizhu
确用|queyong
号发|haofa
不出|buchu
点退|diantui
上午|shangwu
券少|quanshao
手机用户|shoujiyonghu
还接|haijie
宝用|baoyong
结开|jiekai
取向|quxiang
交款|jiaokuan
规则|guize
qqb|qqb
尾|wei
固定|guding
销售额|xiaoshoue
不睬|bucai
a|a
kaih|kaih
还算|haisuan
刷新|shuaxin
后退|houtui
机器|jiqi
进帐|jinzhang
口马|kouma
两边|liangbian
文件|wenjian
星星|xingxing
不满|buman
峰期|fengqi
尽时|jinshi
六个|liuge
认识|renshi
中石化|zhongshihua
端的|duande
一借|yijie
钱次|qianci
有多单|youduodan
住店|zhudian
聚美|jumei
力及|liji
元末|yuanmo
元购|yuangou
用捕|yongbu
多到|duodao
人脸|renlian
转多|zhuanduo
手中|shouzhong
瓜分|guafen
邀约|yaoyue
外套|waitao
借账|jiezhang
日借|rijie
级别|jibie
挂备|guabei
扣除|kouchu
空|kong
我满|woman
一只|yizhi
电脑|diannao
交固话|jiaoguhua
想子|xiangzi
单打|danda
保留|baoliu
于额|yue
还记|haiji
抓|zhua
下个星期|xiagexingqi
早己|zaoji
交不上|jiaobushang
额会|ehui
记录|jilu
大衣|dayi
82|82
纸|zhi
蓝小蓝|lanxiaolan
报|bao
我积|woji
办|ban
纳费|nafei
尔度|erdu
必备|bibei
属于|shuyu
金鹰|jinying
药品|yaopin
灯笼|denglong
裙子|qunzi
价格|jiage
咋调|zadiao
小额贷款|xiaoedaikuan
一二天|yiertian
退入|tuiru
挖到|wadao
受不了|shoubuliao
kdv|kdv
多|duo
复制|fuzhi
查是|chashi
款行|kuanxing
费率|feilv
陶|tao
如口|rukou
另一台|lingyitai
代金|daijin
热线电话|rexiandianhua
登记|dengji
蚂蚁|mayi
一扫|yisao
提示卡|tishika
十一点|shiyidian
另一只|lingyizhi
能帮|nengbang
剩下|shengxia
滴滴|didi
危机|weiji
多不提|duobuti
不利|buli
主机|zhuji
挖奖|wajiang
海域|haiyu
卷券|juanquan
有病|youbing
多月|duoyue
个星|gexing
卖完|maiwan
后边|houbian
结果显示|jieguoxianshi
没来|meilai
136|136
挂钩|guagou
能结|nengjie
贷商|daishang
作为|zuowei
仍|reng
服帮|fubang
生活费|shenghuofei
鸣|ming
想升|xiangsheng
我买个|womaige
金燕卡|jinyanka
更|geng
计算方法|jisuanfangfa
换下|huanxia
保险公司|baoxiangongsi
后出|houchu
完想|wanxiang
高于|gaoyu
有通|youtong
采暖费|cainuanfei
十几元|shijiyuan
不爽|bushuang
像是|xiangshi
广|guang
办到|bandao
款多|kuanduo
种|zhong
为设|weishe
暂|zan
境内|jingnei
用拉|yongla
食品卫生|shipinweisheng
优步|youbu
先存|xiancun
收银|shouyin
佰元|baiyuan
一哈|yiha
补不卡|bubuka
收得|shoude
一退|yitui
差|cha
一比款|yibikuan
鼠标|shubiao
图库|tuku
花交|huajiao
若免|ruomian
能减|nengjian
文字|wenzi
指明|zhiming
改价|gaijia
借叹|jietan
用尽|yongjin
赋予|fuyu
报错|baocuo
完不借|wanbujie
那收|nashou
卡绑|kabang
需求|xuqiu
走超|zouchao
起诉|qisu
叫网|jiaowang
经营者|jingyingzhe
机构|jigou
隔越|geyue
这项|zhexiang
建议|jianyi
金|jin
四五个|siwuge
见效|jianxiao
整错|zhengcuo
网校|wangxiao
上摇一摇|shangyaoyiyao
总价|zongjia
我迟|wochi
信货|xinhuo
扣上|koushang
四千|siqian
岂|qi
外访|waifang
冲个|chongge
灵|ling
提金|tijin
能变|nengbian
专车|zhuanche
十足|shizu
陌币|mobi
按万|anwan
补发|bufa
妈妈|mama
找人带|zhaorendai
平估|pinggu
金正|jinzheng
互是|hushi
合家|hejia
房东|fangdong
大陆|dalu
猪|zhu
保持良好|baochilianghao
晶杰|jingjie
现现|xianxian
本复息|benfuxi
换前|huanqian
日出|richu
循环|xunhuan
七十|qishi
龙有|longyou
条约|tiaoyue
情圈|qingquan
它|ta
借人用|jierenyong
经营|jingying
刮到|guadao
事实上|shishishang
每周|meizhou
改嘛|gaima
转交|zhuanjiao
负后|fuhou
星球|xingqiu
谢|xie
丢钱|diuqian
共分|gongfen
前要|qianyao
相片|xiangpian
收益率|shouyilv
寶要|baoyao
iphone|iphone
这单|zhedan
以及|yiji
没入|moru
美食|meishi
提示音|tishiyin
可行|kexing
用不完|yongbuwan
锦顺|jinshun
马上转|mashangzhuan
下滑|xiahua
证件|zhengjian
里边儿|libianer
要是|yaoshi
那有|nayou
佘额宝|sheebao
分次|fenci
当晚|dangwan
挺高|tinggao
蛋糕店|dangaodian
选选|xuanxuan
题|ti
江西省|jiangxisheng
支什宝|zhishenbao
一天两天|yitianliangtian
营业厅|yingyeting
起升|qisheng
机器人|jiqiren
处理|chuli
一号|yihao
密付付|mifufu
按钮|anniu
完|wan
五万|wuwan
更感|genggan
准入条件|zhunrutiaojian
错开|cuokai
証|zheng
损坏|sunhuai
如何|ruhe
中心|zhongxin
涨点|zhangdian
证户|zhenghu
最初|zuichu
转送|zhuansong
统一|tongyi
两双|liangshuang
设置|shezhi
不支|buzhi
具体情况|jutiqingkuang
周|zhou
代销|daixiao
长沙|changsha
跑腿|paotui
快件|kuaijian
没意思|meiyisi
说来说去|shuolaishuoqu
有卡上|youkashang
用付|yongfu
违约金|weiyuejin
开点|kaidian
信度|xindu
关毕|guanbi
增多|zengduo
解解|jiejie
目的地|mudidi
撤回来|chehuilai
一值|yizhi
马后|mahou
吸|xi
天有|tianyou
重装|zhongzhuang
没补|meibu
用后|yonghou
我租|wozu
谢谢你们|xiexienimen
整么关|zhengmeguan
需票|xupiao
超支|chaozhi
贷|dai
付对|fudui
跟主|genzhu
初次|chuci
算错|suancuo
有账|youzhang
怎办|zenban
一年期|yinianqi
问哈|wenha
有购|yougou
不到|budao
安日|anri
一月|yiyue
店开|diankai
几万|jiwan
不关|buguan
后算|housuan
短消息|duanxiaoxi
皇城|huangcheng
帐付|zhangfu
疯狂|fengkuang
问提|wenti
反映|fanying
业务费|yewufei
百不|baibu
重填|zhongtian
双倍|shuangbei
尽量少|jinliangshao
红色|hongse
学费|xuefei
电子|dianzi
只想关|zhixiangguan
完在|wanzai
达买|damai
骑单车|qidanche
漏洞|loudong
别的|biede
卡卷|kajuan
通宵|tongxiao
家用|jiayong
一家人|yijiaren
平均|pingjun
跟|gen
原件|yuanjian
移动|yidong
揭开|jiekai
绿卡|lvka
元免|yuanmian
相差太大|xiangchataida
代付款|daifukuan
必要|biyao
乡|xiang
一千三百|yiqiansanbai
泝|su
ofo|ofo
本想|benxiang
察|cha
春节|chunjie
关点|guandian
二十四点|ershisidian
迟俩|chilia
起输|qishu
改正|gaizheng
没贷|meidai
戒面|jiemian
五选|wuxuan
不动会算|budonghuisuan
增大|zengda
审理|shenli
超限|chaoxian
我额|woe
环清|huanqing
银行卡|yinhangka
车险|chexian
样|yang
抽天|choutian
一两个|yiliangge
银行业务|yinhangyewu
美图|meitu
必胜客|bishengke
账|zhang
买卖双方|maimaishuangfang
只要|zhiyao
元喃|yuannan
给我发|geiwofa
收不钱|shoubuqian
不一至|buyizhi
冲有|chongyou
结用|jieyong
帮定|bangding
纸能|zhineng
原因|yuanyin
货后|huohou
分宝|fenbao
能永|nengyong
变动|biandong
专款|zhuankuan
年息|nianxi
钱以|qianyi
注明|zhuming
提升|tisheng
售价|shoujia
已换|yihuan
代扣代缴|daikoudaijiao
管掉|guandiao
店内|diannei
不白开|bubaikai
容易|rongyi
穿|chuan
点击|dianji
更高|genggao
周转|zhouzhuan
就行了|jiuxingle
贸易|maoyi
优拜|youbai
现额|xiane
查不到|chabudao
就行|jiuxing
立减|lijian
抢红包|qianghongbao
加点|jiadian
计帐|jizhang
美女|meinv
连美图|lianmeitu
那单|nadan
昨天早上|zuotianzaoshang
不会|buhui
木头|mutou
好象|haoxiang
刚关|gangguan
第八期|dibaqi
不至于|buzhiyu
百分之零点|baifenzhilingdian
承担费用|chengdanfeiyong
多次|duoci
延迟|yanchi
扣扣|koukou
箱子|xiangzi
留言|liuyan
九元|jiuyuan
处|chu
分清|fenqing
居体|juti
小钱|xiaoqian
差到|chadao
好点|haodian
加油卡|jiayouka
住院|zhuyuan
公用|gongyong
同样|tongyang
我本|woben
交付|jiaofu
最多涨|zuiduozhang
银发|yinfa
催债|cuizhai
相对|xiangdui
已有|yiyou
分高开|fengaokai
先充|xianchong
天津|tianjin
下线|xiaxian
停止使用|tingzhishiyong
恒定|hengding
有弹|youdan
那种|nazhong
交上|jiaoshang
拍下|paixia
被纷|beifen
资金不足|zijinbuzu
赶|gan
已款|yikuan
别个|biege
推送|tuisong
民办教育|minbanjiaoyu
度来|dulai
搞机|gaoji
来临|lailin
没变少|meibianshao
改长|gaizhang
催款|cuikuan
冋|jiong
一付|yifu
容忍度|rongrendu
支出|zhichu
千快|qiankuai
会手|huishou
抢钱|qiangqian
收起|shouqi
使用权|shiyongquan
收款台|shoukuantai
会涨|huizhang
没上|meishang
人代|rendai
款会|kuanhui
强烈建议|qiangliejianyi
交气费|jiaoqifei
le|le
掉级|diaoji
一年|yinian
邮局|youju
第|di
要点|yaodian
单天能|dantianneng
加多|jiaduo
快去|kuaiqu
缴固话|jiaoguhua
故意|guyi
多存点|duocundian
能差|nengcha
自从|zicong
确是|queshi
兄弟|xiongdi
欠数|qianshu
不太好|butaihao
高学历|gaoxueli
资料|ziliao
捷信|jiexin
审查|shenzha
能收|nengshou
欢有|huanyou
所以|suoyi
几款|jikuan
刷错|shuacuo
还现|haixian
秦|qin
成年|chengnian
对接|duijie
查帐|zhazhang
想起|xiangqi
春天|chuntian
shi|shi
盗走|daozou
还会手|haihuishou
付得|fude
元鸡|yuanji
系统对|xitongdui
守约|shouyue
万能|wanneng
宝能|baoneng
经过|jingguo
储存卡|chucunka
时候|shihou
口子|kouzi
后来|houlai
上交|shangjiao
完变|wanbian
款现|kuanxian
韩国|hanguo
好友|haoyou
堤升|disheng
强关|qiangguan
哪调|nadiao
手续费|shouxufei
额宝|ebao
怎能|zenneng
两种|liangzhong
crm|crm
照常|zhaochang
我为|wowei
剁|duo
失效|shixiao
我行|woxing
今晚|jinwan
总结|zongjie
免缴|mianjiao
令|ling
无法|wufa
记帐|jizhang
付能|funeng
使用期|shiyongqi
似乎|sihu
已为|yiwei
老张|laozhang
券包|quanbao
这条|zhetiao
降回来|jianghuilai
上购|shanggou
样能|yangneng
黑屏|heiping
用光|yongguang
歪歪|waiwai
会免|huimian
买点|maidian
空卡|kongka
后美团|houmeituan
标注|biaozhu
浮动|fudong
新办|xinban
单号|danhao
卷换|juanhuan
往次|wangci
当日|dangri
类|lei
总是|zongshi
丟了|diule
嘟|du
能到|nengdao
我美|womei
法|fa
全退|quantui
忘|wang
领用|lingyong
买到|maidao
跟期|genqi
黄车|huangche
看出|kanchu
不良|buliang
瑜伽|yujia
中多|zhongduo
几十万|jishiwan
迈|mai
亏了|kuile
贩|fan
阿里巴巴|alibaba
五百块|wubaikuai
完就关|wanjiuguan
挑件|tiaojian
最多交|zuiduojiao
当是|dangshi
你点|nidian
改版|gaiban
一长|yizhang
我全|woquan
鼻|bi
打款|dakuan
付款|fukuan
黑名单|heimingdan
几天|jitian
转为|zhuanwei
三次|sanci
票价|piaojia
券该|quangai
提伸|tishen
还原成|huanyuancheng
一定|yiding
多余|duoyu
南宁|nanning
实名制|shimingzhi
对不上|duibushang
长期性|changqixing
未用过|weiyongguo
那款|nakuan
阿迪|adi
关备|guanbei
再见|zaijian
分扣|fenkou
快巴|kuaiba
买单|maidan
fang|fang
这杂|zheza
这欠|zheqian
寄|ji
分号|fenhao
shoudl|shoudl
没法|meifa
分加|fenjia
死用|siyong
她家|tajia
扣到|koudao
九月九|jiuyuejiu
免额期|mianeqi
变成|biancheng
未找到|weizhaodao
网关|wangguan
少退|shaotui
借完|jiewan
能套|nengtao
换过|huanguo
執|zhi
想永|xiangyong
物资|wuzi
按天|antian
构成|goucheng
嘞|lei
上下|shangxia
咋会事|zahuishi
甲|jia
出来|chulai
欢上|huanshang
脸里|lianli
商业|shangye
卖家|maijia
日后|rihou
单在|danzai
测脸|celian
无辜|wugu
不先|buxian
店部|dianbu
医药费|yiyaofei
一生|yisheng
加上|jiashang
撤|che
网|wang
付钱|fuqian
三百元|sanbaiyuan
点多|dianduo
良心|liangxin
不冲减|buchongjian
店付|dianfu
填|tian
机上|jishang
发微信|faweixin
介入|jieru
etc|etc
千万别|qianwanbie
合算|hesuan
最长|zuizhang
会多要|huiduoyao
共|gong
去试|qushi
本地|bendi
习惯|xiguan
哪网|nawang
版面|banmian
张卡|zhangka
付全|fuquan
审请|shenqing
会开|huikai
玩游戏|wanyouxi
.....|.....
建|jian
人期|renqi
haiz|haiz
自动|zidong
怎让|zenrang
来分|laifen
人有|renyou
唄為|beiwei
原样|yuanyang
认可|renke
吃饭|chifan
上天|shangtian
数额较大|shuejiaoda
59|59
要说|yaoshuo
利润|lirun
毛病|maobing
大型超市|daxingchaoshi
二维码|erweima
请用|qingyong
一百多元|yibaiduoyuan
没反现|meifanxian
还确|haique
有机|youji
开熊|kaixiong
团队|tuandui
章|zhang
哪一天|nayitian
利希|lixi
名字|mingzi
弟弟|didi
转不进|zhuanbujin
补领|buling
首期|shouqi
洞结|dongjie
古装|guzhuang
信誉|xinyu
数最多|shuzuiduo
美甲|meijia
网用|wangyong
就算|jiusuan
可选|kexuan
甚|shen
退个款|tuigekuan
何为|hewei
换过去|huanguoqu
门诊|menzhen
笔笔|bibi
九九|jiujiu
推款|tuikuan
迟后|chihou
开房间|kaifangjian
买动西|maidongxi
运用|yunyong
付后|fuhou
关机|guanji
问题|wenti
不光|buguang
办俩|banlia
崇左市|chongzuoshi
套出|taochu
通讯录|tongxunlu
难道|nandao
北国|beiguo
上卖|shangmai
仅仅|jinjin
木|mu
交费用|jiaofeiyong
石家庄|shijiazhuang
借钱|jieqian
口令|kouling
反倒|fandao
某个|mouge
证下|zhengxia
利希高|lixigao
妈呀|maya
新机|xinji
下此|xiaci
竟然|jingran
陌|mo
刚能|gangneng
换现|huanxian
tongguo|tongguo
√|√
完是|wanshi
钱边|qianbian
答到|dadao
简易|jianyi
谝|pian
借款单|jiekuandan
无资格|wuzige
意思|yisi
先本|xianben
星期|xingqi
近期|jinqi
才行|caixing
短时间|duanshijian
八块|bakuai
微信|weixin
照样|zhaoyang
还会变|haihuibian
允许|yunxu
利略|lilve
每|mei
柜子|guizi
98|98
小卖|xiaomai
一百万|yibaiwan
派出所|paichusuo
重买|zhongmai
设定|sheding
现金额|xianjine
挂牌|guapai
我换|wohuan
我巳经|wosijing
负分|fufen
成给|chenggei
充过|chongguo
十八岁|shibasui
大米|dami
照照|zhaozhao
水果|shuiguo
网贷会|wangdaihui
福卡|fuka
付美团|fumeituan
拖点|tuodian
还码|haima
出门在外|chumenzaiwai
以致|yizhi
从有到无|congyoudaowu
款分|kuanfen
单车|danche
怎己|zenji
现已|xianyi
多付|duofu
啥意思|shayisi
最高点|zuigaodian
调嘛|diaoma
后收|houshou
用得着|yongdezhe
借巴|jieba
服务类型|fuwuleixing
提交|tijiao
包用|baoyong
顺序|shunxu
周六|zhouliu
续贷|xudai
电脑操作|diannaocaozuo
九点半|jiudianban
代码|daima
无人|wuren
期想|qixiang
征样|zhengyang
手款|shoukuan
坯布|pibu
切款|qiekuan
检测|jiance
操过|caoguo
请款|qingkuan
农商|nongshang
却说|queshuo
二十几元|ershijiyuan
多开|duokai
sfb|sfb
另一半|lingyiban
二期|erqi
我哈|woha
万宁|wanning
挪到|nuodao
酒仙|jiuxian
先付|xianfu
惊喜|jingxi
我安期|woanqi
佰迪乐|baidile
然是|ranshi
该成|gaicheng
招联|zhaolian
重叠|chongdie
别样|bieyang
┃|┃
的话|dehua
两千元|liangqianyuan
点用|dianyong
总之|zongzhi
bie|bie
删不掉|shanbudiao
买卖|maimai
会变|huibian
格外|gewai
登号|denghao
唔|wu
过千|guoqian
攒|zan
上订|shangding
现买|xianmai
激请|jiqing
时出|shichu
开玩|kaiwan
万几|wanji
时算|shisuan
鉴先利后|jianxianlihou
眨|zha
好转|haozhuan
商人|shangren
卡后|kahou
有应|youying
无效|wuxiao
万达|wanda
本款|benkuan
花花|huahua
天内|tiannei
免扣|miankou
相反|xiangfan
我特|wote
七百|qibai
提钱|tiqian
入驻|ruzhu
点选|dianxuan
拖期|tuoqi
ㄥ|ㄥ
订餐|dingcan
发送|fasong
听到|tingdao
通道|tongdao
有微|youwei
中租机|zhongzuji
积花|jihua
我心|woxin
形成|xingcheng
剑|jian
确实|queshi
制做|zhizuo
急事|jishi
这用|zheyong
替代|tidai
赚钱|zhuanqian
凭据|pingju
还车|haiche
一百多块|yibaiduokuai
通开|tongkai
成万|chengwan
这换|zhehuan
真实|zhenshi
门口|menkou
贷记卡|daijika
退返|tuifan
我花臂|wohuabi
包在|baozai
都行|douxing
贴能|tieneng
形象|xingxiang
租房|zufang
每张|meizhang
复印件|fuyinjian
我托|wotuo
多久|duojiu
像|xiang
冲油卡|chongyouka
条码|tiaoma
